Word,Score
Naval,1
Nasha,-1
Nashib,1
Nashta,-2
Naxalwad,-1
Nakshidaar,2
Nailaaj,-2
Naumed,-2
Nakhush,-2
Nagrik,0
Nachakki,-2
Najuk,0
Nadurust,-2
Napasanti,-3
Napaak,-2
Napaas,-3
Namvant,2
Namankit,2
Namushki,-2
Naraaj,-3
Nalasti,-2
Nalaayak,-2
Navad,-2
Navajlela,3
Navinyapurn,3
Naash,-2
Naaska,-2
Nikrushta,-2
Ninda,-3
Nipaksha,0
Nipun,2
Nirasha,-3
Nirutsah,-3
Nirogi,1
Nirgun,-1
Nirghrun,-3
Nirday,-2
Nirdosh,2
Nivaant,1
Nishedh,-2
Nishkalji,-2
Nishtha,2
Nishnat,3
Nishpaksha,0
Nishfal,-2
Nisarga,0
Nistej,-2
Neech,-3
Nit,1
Nitimaan,2
Nuksaan,-3
Nutan,1
Netka,2
Naipunya,3
Nyay,2
Pakka,1
Paddhatshir,2
Parampujya,3
Parvanagi,1
Parakram,2
Parajay,-2
Paripakva,2
Paristhiti,0
Pareshaan,-2
Paropkar,2
Parvani,2
Pallavit,2
Pavitra,3
Pashchattap,-2
Pasanti,3
Pathimba,1
Paap,-3
Paaritoshik,2
Peeda,-2
Pudhakar,1
Punya,3
Puraskar,2
Purana,-1
Pushkal,1
Pech,-2
Prakash,2
Prakhyat,3
Pragat,2
Prachand,3
Pratikul,-2
Pratibhashali,3
Pratishthha,3
Prabhutva,3
Pramukh,1
Pravin,3
Prashansa,3
Prasanna,2
Prasiddh,3
Pradnyavaan,3
Pramaanik,1
Pravinya,3
Priya,3
Prem,2
Protsahan,2
Fasavnuk,-2
Fayada,3
Faltu,-2
Fitoor,-1
Fuska,-2
Bakwaas,-1
Bachav,1
Badnaam,-2
Badmaash,-2
Bandi,-1
Bare,1
Bahar,2
Bahaduri,3
Bahishkar,-2
Bahumaan,2
Balkat,2
Bakshis,2
Bindok,-2
Beimaan,-2
Bekaar,-3
Beparva,-2
Besharam,-2
Bhakaas,-2
Bhakti,2
Bhayanak,-2
Bharpur,2
Bharbharat,3
Bhala,2
Bhavyadivya,3
Bhaardar,1
Bhav,1
Bhavgeet,2
Bhavand,2
Bhavnatmak,1
Bhavik ,1
Bhavi,1
Bhashan,1
Bhasha,2
Bhashantar,1
Bhas,1
Bhaskar,1
Bhikari,-1
Bhingri,1
Bhidu,1
Bhint,0
Bhittichitr,-2
Bhitra,-1
Bhinn,0
Bhiksha,1
Bhiksharthi,1
Bhik,0
Bhid,1
Bhiti,-2
Bhishan,0
Bhukela,-1
Bhuga,0
Bhunga,0
Bhuj,0
Bhunbhun,0
Bhut,-2
Bhuthatki,-1
Bhuyar,0
Bhurta,-1
Bhural,-1
Bhuvan,1
Bhuvai,0
Bhu,2
Bhuk,1
Bhukamp,-1
Bhukampshastra,0
Bhugarbh,0
Bhugol,1
Bhuchal,0
Bhuchar,0
Bhutkatha,-1
Bhutkal,-1
Bhutdaya,0
Bhudal,0
Bhupati,0
Bhubhag,1
Bhumapan,0
Bhumika,1
Bhumiti,1
Bhumi,2
Bhul,-2
Bhushan,1
Bhekad,-1
Bheg,0
Bhet,3
Bhetvastu,3
