Word,Score
Bhendi,0
Bhed,-1
Bhedbhav,-3
Bhesal,-2
Bhel,0
Bhog,-1
Bhojan,3
Bhojnalay,2
Bhopla,0
Bhrm,-3
Bhrashtachar,-3
Bhrunhatya,-3
Mau,2
Makarand,1
Magar,0
Mangal,1
Maja,0
Majduri,-1
Manjula,2
Mandai,0
Mat,-1
Madh,2
Mani,1
Mandap,0
Matdan,2
Mantra,3
Mantri,-3
Mand,-1
Mandir,3
Madhu,1
Madura,2
Madhla,0
Matsar,-1
Madhyamvarg,1
Man,2
Manoranjan,2
Manorugn,-1
Mayur,2
Maran,-3
Maryada,1
Maska,0
Masti,2
Mahag,-2
Mahan,3
Mahal,2
Mahila,1
Mauli,3
Manjar,1
Mage,-1
Maj,-2
Maza,0
Mati,1
Maf,2
Maya,-2
Moh,-1
Mar,-2
Marg,1
Mahina,0
Mahiti,2
Mal,3
Mithai,2
Mitr,3
Mithi,1
Mi,0
Mukt,0
Mubha,1
Muramba,2
Mulga,1
Mulgi,2
Muth,0
Mule,1
Murkh,-2
Mrutdeh,-2
Megh,1
Mrudu,0
Mejwani,2
Menbatti,1
Mendu,1
Mehnat,2
Mehnati,3
Meherban,1
Maitri,3
Mokala,0
Mogara,1
Mokat,0
Moja,0
Modaka,-2
Moti,2
Mofat,1
Mor,1
Morpis,2
Molkarin,2
Mohak,3
Mohini,1
Mauj,2
Maun,1
Maulyavan,2
Yantra,2
Yantrmanav,3
Yanda,1
Yash,2
Yashwant,1
Yatna,-2
Yatra,1
Yan,2
Yar,3
Yukti,2
Yug,1
Yudhha,-2
Yuva,2
Yuvak,1
Yog,3
Yogdan,1
Yogayog,2
Yogya,3
Yogi,1
Yojana,1
Rakt,-2
Raktdan,3
Rakshas,-3
Rang,2
Rangrangoti,1
Rachana,2
Rangoli,3
Rajat,1
Ratal,-1
Radd,-1
Ramya,2
Rava,0
Ravivar,3
Ras,1
Rasayan,1
Rasta,1
Rahasya,2
Rakshak,2
Rag,-2
Rajkumari,3
Rajdhani,2
Rajmata,3
Rajwada,3
Raja,3
Rajinama,1
Rada,-2
Ratr,2
Ran,3
Ramban,1
Ramayan,3
Rashi,1
Rashtraprem,3
Rugn,-1
Ruchi,2
Rekha,0
Rupantar,1
Radio,0
Rokh,0
Rog,-3
Rochak,2
Romanch,2
Roshnai,3
Raunak,3
Lakhha,1
Lagn,0
Lathha,-2
Ladha,1
Labad,-2
Lahan,1
Lala,3
Laksha,1
Lagu,0
Laj,-2
Lad,2
Lamb,0
Labh,1
Layaki,-3
Lavani,0
Limbu,0
Lekh,2
Likhan,3
Lokgeet,3
Lokseva,2
Loh,1
Vakil,-1
Vakta,2
Vachan,3
Vajan,2
Vanava,-1
Vadil,3
Vadhu,1
Van,1
Varchadh,1
Varat,1
Vargat,2
Varun,2
Varchasv,2
Vartman,1
Varsh,0
Vansh,1
Vanshvad,1
Vashila,-2
Vashikaran,-1
Vasti,1
Vastu,1
Vastr,2
Vasuli,-1
Vait,-2
Vakda,0
Vachak,0
Vat,1
Vada,1
Vadhdivas,2
Vadal,-1
Vapar,1
Vayu,1
Varkari,2
Vari,3
Vartalap,1
Vahtuk,1
Vikar,0
Vikas,3
Vikram,2
Vikrut,-3
Vikhyat,2
Vighn,-2
Vichar,1
Vichitr,-1
Vinchu,0
Vijay,2
Vidya,3
Vidyarthi,2
Vish,-2
Vinod,2
Vinash,-3
Vipatti,-2
Viyog,-2
Virangula,1
Viram,1
Virudhha,-1
Virah,-3
Vivash,0
Vishesh,1
Vishranti,2
Vishwas,3
Visham,0
Vishbadha,-2
Visava,2
Veej,1
Veer,2
Veergati,3
Veg,2
Veda,-1
Vedana,-2
Vel,1
Velapatrak,1
Vaitag,-3
Vairi,-2
Vyavasthit,2
Vyap,-3
Shanka,-2
Shakti,2
Shatru,-2
Shabd,2
Shap,0
Shahana,1
Shant,1
Shakha,2
Shandar,1
Shikavan,2
Shikari,-2
Shifaras,0
Shikshan,2
Shudhha,2
Shila,0
Shubh,3
Shoor,3
Sheti,2
Shok,-2
Shoshan,1
Shyam,3
Shaurya,3
Shrimanti,2
Shreshth,2
Shwas,1
Sankat,-2
Sankalp,1
Sankraman,1
Sankhya,0
Sagala,0
Sangeet,3
Sangrah,1
Sangh,1
Sanghtan,2
Sankat,-1
Sangharsh,2
Sachha,2
Sattebaj,-3
Santap,-2
Satkar,1
Santosh,2
Satya,1
Satyvan,2
Swarthi,-3
Sadacharan,2
Sandesh,1
Sadgun,2
Sandhya,1
Sanatan,3
Sanman,1
Sampurn,2
Sambandh,2
Sambhashan,1
Sabhya,0
Samjutdar,2
Samarpan,1
Samasya,-2
Samadhan,3
Saman,1
Samapt,0
Samudra,1
Samrudhh,2
Samor,0
Sanman,3
Sayyam,1
Sahyog,2
Sarav,0
Sanrakshan,2
Sarita,3
Sarv,2
Sarvjan,1
Sarvnash,-2
Sarvadhik,2
Sarvottam,3
Savay,0
Saja,-1
Sanvedana,2
Sanshay,1
Sasa,2
Sansar,3
Sahkar,2
Sahbhag,1
Sahvas,2
Sahayak,3
Sahi,1
Saksham,1
Sajuk,2
Sath,1
Sar,2
Savdhan,1
Sahasi,3
Sakshi,0
Sidhh,1
Suka,0
Sukhad,2
Sukhada,0
Sukhi,2
Sugandh,3
Sugam,2
Suru,0
Surekh,2
Sulabh,2
Suvichar,2
Suchana,1
Sur,2
Srujanshil,1
Seva,2
Sevabhavi,3
Sopa,1
Sobati,3
soyara,2
Soyabean,0
Shoshan,-3
Saundarya,2
Sohala,1
Saumya,1
Stuti,2
Stree,1
Sthal,2
spasht,1
Sneh,3
Smaran,2
Smruti,1
Swchha,2
Swatantra,2
Swadesh,1
Swarg,3
Swarup,1
Swast,2
Swagat,1
Swad,2
Swabhiman,3
Svikar,1
Hakk,0
Hakalpatti,-2
Hangama,2
Hajar,3
Hajamat,-1
Hattya,-3
Hatash,-2
Hamali,-1
Harne,-2
Harsh,3
Halkat,-2
Hasane,2
Hastakshar,-2
Halu,0
Hanamari,-1
Hanikarak,-3
Hasya,3
Heet,1
Kimmat,1
Hirvegar,2
Hivala,2
Hisheb,1
Hinsa,-3
Hukum,0
Hushari,2
Hetu,1
Dnyan,2
Dnyanvan,3
Dnyani,2
